time,readable_time,acceleration,acceleration_x,acceleration_y,acceleration_z,battery,humidity,pressure,temperature,dev-id
1522972805443,2018-04-06T00:00:05.443000Z,1021.637900628202,-64,308,972,3013,25,999.26,28.1,C2:9A:9F:E5:58:27
1522972819663,2018-04-06T00:00:19.663000Z,1015.5116936795952,-68,312,964,3019,25,999.3,28.09,C2:9A:9F:E5:58:27
1522972825173,2018-04-06T00:00:25.173000Z,1017.589308119931,-60,308,968,3019,25,999.29,28.1,C2:9A:9F:E5:58:27
1522972830293,2018-04-06T00:00:30.292999Z,1016.4880717450648,-64,316,964,3019,25,999.27,28.09,C2:9A:9F:E5:58:27
1522972835293,2018-04-06T00:00:35.292999Z,1018.3673207639766,-72,308,968,3019,25,999.23,28.08,C2:9A:9F:E5:58:27
1522972841183,2018-04-06T00:00:41.183000Z,1010.4889905387391,-68,308,960,3019,25,999.27,28.09,C2:9A:9F:E5:58:27
1522972846443,2018-04-06T00:00:46.443000Z,1011.7153749943707,-68,312,960,3025,25,999.33,28.09,C2:9A:9F:E5:58:27
1522972851983,2018-04-06T00:00:51.983000Z,1014.5659170305298,-72,308,964,3025,25,999.29,28.08,C2:9A:9F:E5:58:27
1522972857183,2018-04-06T00:00:57.183000Z,1017.832992194692,-64,308,968,3031,25,999.27,28.09,C2:9A:9F:E5:58:27
1522972862173,2018-04-06T00:01:02.173000Z,1026.6528137593546,-64,312,976,3019,25,999.28,28.09,C2:9A:9F:E5:58:27
1522972867163,2018-04-06T00:01:07.163000Z,1015.7873793269928,-72,312,964,3013,25,999.31,28.09,C2:9A:9F:E5:58:27
1522972872189,2018-04-06T00:01:12.188999Z,1013.3587716105288,-72,304,964,3019,25,999.26,28.08,C2:9A:9F:E5:58:27
1522972877251,2018-04-06T00:01:17.250999Z,1019.5842289874829,-72,312,968,3019,25,999.21,28.08,C2:9A:9F:E5:58:27
1522972882271,2018-04-06T00:01:22.270999Z,1020.4391211630412,-64,304,972,3019,25,999.22,28.09,C2:9A:9F:E5:58:27
1522972887353,2018-04-06T00:01:27.352999Z,1019.8745020834672,-76,312,968,3019,25,999.29,28.08,C2:9A:9F:E5:58:27
1522972892893,2018-04-06T00:01:32.892999Z,1021.8962765369096,-68,308,972,3019,25,999.27,28.09,C2:9A:9F:E5:58:27
